variable,description
PCH_CONVS_11_16,"Convenience stores (% change), 2011-16"
CONVSPTH11,"Convenience stores/1,000 pop, 2011"
CONVSPTH16,"Convenience stores/1,000 pop, 2016"
PCH_CONVSPTH_11_16,"Convenience stores/1,000 pop (% change), 2011-16"
SPECS11,"Specialized food stores, 2011"
SPECS16,"Specialized food stores, 2016"
PCH_SPECS_11_16,"Specialized food stores (% change), 2011-16"
SPECSPTH11,"Specialized food stores/1,000 pop, 2011"
SPECSPTH16,"Specialized food stores/1,000 pop, 2016"
PCH_SPECSPTH_11_16,"Specialized food stores/1,000 pop (% change), 2011-16"
SNAPS12,"SNAP-authorized stores, 2012"
SNAPS17,"SNAP-authorized stores, 2017"
PCH_SNAPS_12_17,"SNAP-authorized stores (% change), 2012-17"
SNAPSPTH12,"SNAP-authorized stores/1,000 pop, 2012"
SNAPSPTH17,"SNAP-authorized stores/1,000 pop, 2017"
PCH_SNAPSPTH_12_17,"SNAP-authorized stores/1,000 pop (% change), 2012-17"
WICS11,"WIC-authorized stores, 2011"
WICS16,"WIC-authorized stores, 2016"
PCH_WICS_11_16,"WIC-authorized stores (% change), 2011-16"
WICSPTH11,"WIC-authorized stores/1,000 pop, 2011"
WICSPTH16,"WIC-authorized stores/1,000 pop, 2016"
PCH_WICSPTH_11_16,"WIC-authorized stores/1,000 pop (% change), 2011-16"
FFR11,"Fast-food restaurants, 2011"
FFR16,"Fast-food restaurants, 2016"
PCH_FFR_11_16,"Fast-food restaurants (% change), 2011-16"
FFRPTH11,"Fast-food restaurants/1,000 pop, 2011"
FFRPTH16,"Fast-food restaurants/1,000 pop, 2016"
PCH_FFRPTH_11_16,"Fast-food restaurants/1,000 pop (% change), 2011-16"
FSR11,"Full-service restaurants, 2011"
FSR16,"Full-service restaurants, 2016"
PCH_FSR_11_16,"Full-service restaurants (% change), 2011-16"
FSRPTH11,"Full-service restaurants/1,000 pop, 2011"
FSRPTH16,"Full-service restaurants/1,000 pop, 2016"
PCH_FSRPTH_11_16,"Full-service restaurants/1,000 pop (% change), 2011-16"
PC_FFRSALES07,"Expenditures per capita, fast food, 2007*"
PC_FFRSALES12,"Expenditures per capita, fast food, 2012*"
PC_FSRSALES07,"Expenditures per capita, restaurants, 2007*"
PC_FSRSALES12,"Expenditures per capita, restaurants, 2012*"
REDEMP_SNAPS12,"SNAP redemptions/SNAP-authorized stores, 2012"
REDEMP_SNAPS17,"SNAP redemptions/SNAP-authorized stores, 2017"
PCH_REDEMP_SNAPS_12_17,"SNAP redemptions/SNAP-authorized stores (% change), 2012-17"
PCT_SNAP12,"SNAP participants (% pop), 2012*"
PCT_SNAP17,"SNAP participants (% pop), 2017*"
PCH_SNAP_12_17,"SNAP participants (change % pop), 2012-17*"
PC_SNAPBEN12,"SNAP benefits per capita, 2012"
PC_SNAPBEN17,"SNAP benefits per capita, 2017"
PCH_PC_SNAPBEN_12_17,"SNAP benefits per capita (% change), 2012-17"
SNAP_PART_RATE11,"SNAP participants (% eligible pop), 2011*"
SNAP_PART_RATE16,"SNAP participants (% eligible pop), 2016*"
SNAP_OAPP09,"SNAP online application, 2009*"
SNAP_OAPP16,"SNAP online application, 2016*"
SNAP_CAP09,"SNAP Combined Application Project , 2009*"
SNAP_CAP16,"SNAP Combined Application Project , 2016*"
SNAP_BBCE09,"SNAP Broad-based Categorical Eligibility, 2009*"
SNAP_BBCE16,"SNAP Broad-based Categorical Eligibility, 2016*"
SNAP_REPORTSIMPLE09,"SNAP simplified reporting, 2009*"
SNAP_REPORTSIMPLE16,"SNAP simplified reporting, 2016*"
PCT_NSLP12,"National School Lunch Program participants (% children), 2012*"
PCT_NSLP17,"National School Lunch Program participants (% children), 2017*"
PCH_NSLP_12_17,"National School Lunch Program participants (change % children), 2012-17*"
PCT_FREE_LUNCH10,"Students eligible for free lunch (%), 2010"
PCT_FREE_LUNCH15,"Students eligible for free lunch (%), 2015"
PCT_REDUCED_LUNCH10,"Students eligible for reduced-price lunch (%), 2010"
